Configuration,Overall Acc (%),Macro F1 (%),Minority-Class F1 (%)
Hybrid CNN-ViT (No Aug),98.51,97.82,96.65
Hybrid CNN-ViT + DDPM (Ours),98.43,97.63,95.96
